,SiteName,SiteId,County,TWD67Lon,TWD67Lat
36,福龜國小,81H950,南投縣,120.8143,24.0133
37,人和國小,81H940,南投縣,120.8886,23.7807
38,玉峰國小,81H930,南投縣,120.8295,23.8074
39,德化國小,81H920,南投縣,120.9272,23.8505
40,平林國小,81H910,南投縣,120.7544,23.9945
41,大觀發電,81H900,南投縣,120.8614,23.8563
42,達觀國小,81F910,臺中市,120.9121,24.3354
43,峰谷國小,81F900,臺中市,120.7163,24.037
44,坪廓分校,81F890,臺中市,120.7485,24.1584
45,中坑國小,81F880,臺中市,120.8718,24.2382
46,慈惠堂,81E720,苗栗縣,120.7821,24.4493
47,開礦國小,81E710,苗栗縣,120.8557,24.4634
48,花園派出,81D660,新竹縣,121.1429,24.6479
49,內灣國小,81D650,新竹縣,121.175,24.7072
50,錦屏國小,81D640,新竹縣,121.2386,24.6822
51,尖石國小,81D630,新竹縣,121.2183,24.7305
52,錦山派出,81D620,新竹縣,121.2232,24.7738
53,高坡國小,81C710,桃園市,121.3434,24.7698
54,大艽芎古,81C700,桃園市,121.2804,24.8268
55,有木國小,81AI20,新北市,121.4293,24.8554
56,建安國小,81AI10,新北市,121.4384,24.9275
57,五寮國小,81AI00,新北市,121.3518,24.8607
58,信賢派出,81AH90,新北市,121.5179,24.8401
59,五城加油,81AH80,新北市,121.4628,24.9417
60,柑林國小,81AH70,新北市,121.7962,25.0177
61,長坑國小,81AH60,新北市,121.3823,25.1285
62,萬里國小,81AH50,新北市,121.6812,25.1776
63,坪頂,81K580,雲林縣,120.6309,23.7556
64,松鶴,81F0B0,臺中市,120.9776,24.1788
65,豐山,81M020,嘉義縣,120.7367,23.5921
66,大興,81T9K0,花蓮縣,121.3701,23.6436
67,華山,81K570,雲林縣,120.5999,23.5953
68,射馬干,81S930,臺東縣,121.0298,22.7268
69,鳳義坑,81T9J0,花蓮縣,121.418,23.7427
70,大粗坑,81AI30,新北市,121.8307,25.0931
71,豐丘,81I560,南投縣,120.8688,23.6698
72,郡坑,81I550,南投縣,120.862,23.7416
73,上安,81I540,南投縣,120.8685,23.7272
74,神木,81I530,南投縣,120.8486,23.53
75,九份二山,81I520,南投縣,120.8462,23.9517
76,平等,C0AH40,臺北市,121.5689,25.1309
77,花嶼,C0W130,澎湖縣,119.3147,23.4018
78,東莒,C0W110,連江縣,119.9724,25.9669
79,雪山圈谷,C0F0A0,臺中市,121.2282,24.3904
80,雪山東峰,C0F9Z0,臺中市,121.2633,24.3906
81,桃山,C0F9Y0,臺中市,121.2956,24.4345
